rank,school,headshot,position,college_year,first_name,last_name,team_33rd,br,buzz,cbs,drafttek,espn,nbc,nfl,pff,ringer,tankathon,usa,walter,yahoo,std_dev,avg
82,https://a.espncdn.com/i/teamlogos/ncaa/500/2579.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-prospect-headshots/2023/32004b45-4e28-2395-2871-ce6e588d7f2c",ED,SR.,Kyle,Kennard,112,118,75,96,73,111,83,118,81,–,92,54,71,85,23.6,86.29
83,https://a.espncdn.com/i/teamlogos/ncaa/500/61.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-draft-headshots/2025/32005241-5452-3002-6068-4c022618d53f",OG,SR.,Tate,Ratledge,56,48,71,132,82,108,60,69,69,72,75,108,–,–,24.8,77.08
84,https://a.espncdn.com/i/teamlogos/ncaa/500/251.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-prospect-headshots/2023/32004d55-4b42-6541-924c-0a69b82e6451",S,SR.,Andrew,Mukuba,49,102,80,102,85,107,69,93,63,–,80,95,138,113,22.7,91.43
85,https://a.espncdn.com/i/teamlogos/ncaa/500/251.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-draft-headshots/2025/3200424f-4e16-8854-5500-4fcd95690bde",WR,JR.,Isaiah,Bond,124,68,74,67,109,74,79,59,140,76,89,138,–,49,34.7,93.36
86,https://a.espncdn.com/i/teamlogos/ncaa/500/9.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-draft-headshots/2025/3200534b-4157-8439-e202-fa5ff0631271",RB,SR.,Cam,Skattebo,119,113,87,165,49,62,72,122,51,65,83,151,96,90,35,92.8
87,https://a.espncdn.com/i/teamlogos/ncaa/500/201.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-prospect-headshots/2023/32005354-5579-7614-acd3-a851244d3364",LB,SR.,Danny,Stutsman,66,97,84,122,123,121,81,79,194,–,102,114,47,50,37.7,96.79
88,https://a.espncdn.com/i/teamlogos/ncaa/500/96.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-draft-headshots/2025/32005741-4c11-7169-6fcb-f4a66c62b249",IDL,JR.,Deone,Walker,166,107,83,54,153,126,–,95,173,57,97,68,88,15,45.1,96.86
89,https://a.espncdn.com/i/teamlogos/ncaa/500/52.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-draft-headshots/2025/32004641-5231-4612-24e8-c24e08c8e0c0",IDL,RS JR.,Joshua,Farmer,107,121,114,91,77,63,94,67,138,–,88,169,61,119,31.9,98.14
90,https://a.espncdn.com/i/teamlogos/ncaa/500/97.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-draft-headshots/2025/32005348-4f76-8898-2122-c8ee34c8b6a6",QB,SR.,Tyler,Shough,89,116,144,157,54,38,90,130,134,84,93,97,94,112,31.9,103
91,https://a.espncdn.com/i/teamlogos/ncaa/500/2306.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-prospect-headshots/2023/32005041-5267-4843-a152-d47e7453a745",CB,JR.,Jacob,Parrish,41,139,121,131,89,103,78,60,107,–,96,59,–,121,29.7,95.54
92,https://a.espncdn.com/i/teamlogos/ncaa/500/2628.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-draft-headshots/2025/32005749-4c52-0796-a21b-79528a1ef4f7",WR,SR.,Savion,Williams,95,130,90,138,100,102,89,129,101,–,94,131,56,73,23.6,101.14
93,https://a.espncdn.com/i/teamlogos/ncaa/500/145.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-prospect-headshots/2023/32004956-4564-2353-8983-ad2c5b6e042c",ED,SR.,Jared,Ivey,74,96,78,45,146,99,98,179,62,–,98,128,–,68,43.9,104.46
94,https://a.espncdn.com/i/teamlogos/ncaa/500/2729.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-draft-headshots/2025/32004752-4139-6159-b4c5-6d62ea8e73e4",OT,SR.,Charles,Grant,84,105,89,79,84,81,–,83,95,–,85,120,–,150,21.2,97.25
95,https://a.espncdn.com/i/teamlogos/ncaa/500/265.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-draft-headshots/2025/32005749-4c41-5226-76ac-b1583a06b9ec",WR,SR.,Kyle,Williams,159,74,127,97,62,105,92,96,65,–,100,69,–,151,35.3,104.62
96,https://a.espncdn.com/i/teamlogos/ncaa/500/97.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-prospect-headshots/2023/32004749-4c70-1500-8de3-dd5b3d0b145d",ED,SR.,Ashton,Gillotte,60,141,95,72,105,104,–,89,97,–,99,49,–,–,25,89.91
97,https://a.espncdn.com/i/teamlogos/ncaa/500/251.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-prospect-headshots/2023/32004845-4c49-3059-9e89-11f76a704998",TE,SR.,Gunnar,Helm,91,146,88,105,91,85,–,146,117,83,95,136,105,100,24.8,103.57
98,https://a.espncdn.com/i/teamlogos/ncaa/500/201.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-prospect-headshots/2023/3200424f-5766-9654-778d-1d85c852b173",S,SR.,Billy,Bowman Jr.,93,58,111,212,145,92,96,42,119,–,113,123,117,83,40.1,109
99,https://a.espncdn.com/i/teamlogos/ncaa/500/145.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-prospect-headshots/2023/32005041-5553-4319-1f74-82ed87167bef",LB,JR.,Chris,Paul Jr.,150,87,79,146,98,115,–,105,83,–,101,51,–,114,33.5,108.17
100,https://a.espncdn.com/i/teamlogos/ncaa/500/99.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-draft-headshots/2025/32004a4f-4e82-6254-6d7b-f8d3486734a0",OT,JR.,Emery,Jones Jr.,133,176,143,59,152,133,66,85,200,–,108,104,44,26,52.1,106.36
101,https://a.espncdn.com/i/teamlogos/ncaa/500/152.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-draft-headshots/2025/32004245-4c77-5572-bf56-648a1c6ef9d1",OT,SR.,Anthony,Belton,72,172,112,121,95,97,–,71,98,–,91,96,–,108,27,101
102,https://a.espncdn.com/i/teamlogos/ncaa/500/228.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-prospect-headshots/2023/32004341-5261-7082-19b4-d5d06a0dea12",LB,SR.,Barrett,Carter,129,125,94,130,110,120,–,75,144,–,118,107,83,95,25,106.62
103,https://a.espncdn.com/i/teamlogos/ncaa/500/61.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-draft-headshots/2025/32005749-4c72-2464-6806-4dd99cf158ab",C,JR.,Jared,Wilson,138,85,101,86,86,72,74,180,87,–,81,142,–,154,34.8,107
104,https://a.espncdn.com/i/teamlogos/ncaa/500/2483.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-prospect-headshots/2023/32004645-5233-3882-9ca7-fa63e767baea",TE,SR.,Terrance,Ferguson,160,149,113,92,94,78,–,120,85,69,90,134,–,104,28.4,105.23
105,https://a.espncdn.com/i/teamlogos/ncaa/500/259.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-prospect-headshots/2023/32005354-5261-0589-bc22-e86b3fc0cdb5",CB,SR.,Dorian,Strong,137,103,122,167,134,132,–,107,103,–,119,66,80,93,35.8,120.31
106,https://a.espncdn.com/i/teamlogos/ncaa/500/158.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-prospect-headshots/2023/3200524f-4271-2647-a562-26cb8f3e43dd",IDL,SR.,Ty,Robinson,106,246,169,127,102,75,–,121,122,82,106,99,82,77,44.9,117.21
107,https://a.espncdn.com/i/teamlogos/ncaa/500/36.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-draft-headshots/2025/3200484f-5271-4724-279c-0b867b4b01d4",WR,SR.,Tory,Horton,132,157,107,103,117,116,97,104,113,80,114,91,–,152,27.4,118.71
108,https://a.espncdn.com/i/teamlogos/ncaa/500/194.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-prospect-headshots/2023/32005241-4e76-9272-7c58-09cd401942a2",S,SR.,Lathan,Ransom,90,98,102,140,127,156,–,97,89,–,123,101,–,109,21.1,110.92
109,https://a.espncdn.com/i/teamlogos/ncaa/500/251.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-draft-headshots/2025/32004557-4541-5291-45fc-144750ad611e",QB,JR.,Quinn,Ewers,189,108,91,101,107,112,76,134,157,–,107,225,74,84,43.4,120
110,https://a.espncdn.com/i/teamlogos/ncaa/500/97.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-prospect-headshots/2023/32005249-4c58-1406-fcac-c6df4aaa9dcd",CB,SR.,Quincy,Riley,131,70,146,156,155,84,–,162,168,–,104,90,77,91,36.6,116.92
111,https://a.espncdn.com/i/teamlogos/ncaa/500/2390.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-draft-headshots/2025/32004d41-5277-7006-810f-dff0455aee93",RB,JR.,Damien,Martinez,111,66,159,139,121,118,93,173,80,66,109,192,128,145,37.1,122.8
112,https://a.espncdn.com/i/teamlogos/ncaa/500/2116.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-draft-headshots/2025/32004841-5281-9909-a72d-cc3e41956f3a",RB,SR.,RJ,Harvey,–,122,129,111,116,96,99,209,72,74,105,118,144,102,33.8,116.86
113,https://a.espncdn.com/i/teamlogos/ncaa/500/2483.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-draft-headshots/2025/32004a4f-4867-9448-4f25-4821b872e83b",WR,SR.,Tez,Johnson,197,111,99,109,64,128,–,183,135,–,110,172,79,99,41.3,127.15
114,https://a.espncdn.com/i/teamlogos/ncaa/500/2305.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-draft-headshots/2025/32004e45-4115-6553-b92e-3a97de1d5558",RB,SR.,Devin,Neal,113,127,96,238,111,86,–,191,106,–,111,124,125,58,45.5,124.15
115,https://a.espncdn.com/i/teamlogos/ncaa/500/2483.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-prospect-headshots/2023/32004241-5357-4230-2944-1cd531fa1efa",LB,SR.,Jeffrey,Bassa,85,61,123,183,139,172,–,132,110,–,142,150,51,–,41.8,119.58
116,https://a.espncdn.com/i/teamlogos/ncaa/500/194.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-draft-headshots/2025/3200484f-5745-6809-c265-2767814a446b",QB,SR.,Will,Howard,128,73,100,123,120,98,–,234,125,–,117,159,131,127,38,128.92
117,https://a.espncdn.com/i/teamlogos/ncaa/500/25.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-prospect-headshots/2023/32005749-4c45-8398-dede-bad6ca7515d4",CB,SR.,Nohl,Williams,97,161,116,159,93,220,–,119,116,–,122,72,111,–,42.2,130.83
118,https://a.espncdn.com/i/teamlogos/ncaa/500/2306.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-prospect-headshots/2023/32004749-4427-1611-d63e-c26d3e507e94",RB,JR.,DJ,Giddens,141,88,174,147,97,90,–,197,96,–,116,116,–,136,34.1,126.83
119,https://a.espncdn.com/i/teamlogos/ncaa/500/194.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-prospect-headshots/2023/32004255-5217-3022-cf62-5ee1affb3ebf",CB,SR.,Denzel,Burke,118,75,115,119,154,183,–,124,197,–,153,75,93,–,38.8,126.33
120,https://a.espncdn.com/i/teamlogos/ncaa/500/259.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-draft-headshots/2025/32005455-5406-6215-da3b-cbf31441af43",RB,SR.,Bhayshul,Tuten,76,109,157,89,112,158,–,66,202,–,125,135,–,–,40.9,119.82
121,https://a.espncdn.com/i/teamlogos/ncaa/500/99.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-draft-headshots/2025/32004652-4178-0268-a3c4-0ab2a0a61d5f",OG,SR.,Miles,Frazier,100,95,117,116,164,122,–,110,228,–,143,144,97,–,38.7,127.42
122,https://a.espncdn.com/i/teamlogos/ncaa/500/251.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-prospect-headshots/2023/3200534f-5250-1140-40f1-bdc46d818b07",ED,SR.,Barryn,Sorrell,102,190,171,136,114,123,–,76,111,–,135,149,133,–,36.9,124.83
123,https://a.espncdn.com/i/teamlogos/ncaa/500/61.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-prospect-headshots/2023/32004d4f-4e12-5860-8b72-68c955f1174e",LB,SR.,Smael,Mondon Jr.,142,169,110,128,99,147,–,58,258,–,128,119,–,81,49.9,131.25
124,https://a.espncdn.com/i/teamlogos/ncaa/500/259.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-prospect-headshots/2023/32005045-4516-0116-455d-0fa56ed36d0d",IDL,SR.,Aeneas,Peebles,162,228,147,82,106,135,–,140,142,–,126,74,–,101,43.4,135.67
125,https://a.espncdn.com/i/teamlogos/ncaa/500/120.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-draft-headshots/2025/32004645-4c74-6837-2f7c-6dbeb6fa58ca",WR,SR.,Tai,Felton,96,128,98,76,104,176,–,210,149,–,138,86,–,–,41.7,128.91
126,https://a.espncdn.com/i/teamlogos/ncaa/500/99.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-prospect-headshots/2023/32004a4f-4e71-5896-59bd-03d0b2ae353a",ED,SR.,Sai'vion,Jones,–,189,145,84,175,113,–,57,104,–,121,141,116,–,37.8,124.09
127,https://a.espncdn.com/i/teamlogos/ncaa/500/2110.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-prospect-headshots/2023/32005741-4c11-5590-6885-0eeaeaf4f879",ED,SR.,David,Walker,120,217,109,95,115,148,–,123,124,–,132,106,–,–,38.2,135
128,https://a.espncdn.com/i/teamlogos/ncaa/500/251.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-prospect-headshots/2023/32004252-4f31-6291-a52f-b18369ea668d",IDL,SR.,Vernon,Broughton,136,210,187,75,129,129,–,164,90,–,124,110,126,–,38.4,136.5
129,https://a.espncdn.com/i/teamlogos/ncaa/500/61.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-prospect-headshots/2023/32004554-4943-7791-4962-5844d8327012",RB,JR.,Trevor,Etienne,126,140,149,214,159,143,–,137,114,–,146,130,99,110,28.2,139.23
130,https://a.espncdn.com/i/teamlogos/ncaa/500/120.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-prospect-headshots/2023/32005048-4938-2890-d054-38ed9cc0ab97",IDL,RS SO.,Jordan,Phillips,105,92,108,181,92,124,–,280,94,–,103,190,–,116,57.2,138.17
131,https://a.espncdn.com/i/teamlogos/ncaa/500/2483.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-prospect-headshots/2023/32004341-4c28-7735-daba-7d55546b6660",IDL,SR.,Jamaree,Caldwell,73,173,128,186,122,140,–,88,105,–,137,154,–,–,35.8,134.18
132,https://a.espncdn.com/i/teamlogos/ncaa/500/194.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-draft-headshots/2025/32004d43-4c22-3284-db2a-80f5b4311e96",C,SR.,Seth,McLaughlin,155,90,170,295,156,119,–,194,123,–,149,67,90,82,60.7,137.85
133,https://a.espncdn.com/i/teamlogos/ncaa/500/99.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-prospect-headshots/2023/3200414c-4575-6477-d14f-44cf4205fa48",CB,SR.,Zy,Alexander,183,82,106,126,151,139,–,139,152,–,151,89,–,–,30.5,129.91
134,https://a.espncdn.com/i/teamlogos/ncaa/500/183.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-draft-headshots/2025/32004d43-4354-9616-2bb6-3e898b438243",QB,SR.,Kyle,McCord,144,129,119,120,132,236,86,148,169,–,–,163,102,128,37.5,141.69
135,https://a.espncdn.com/i/teamlogos/ncaa/500/258.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-prospect-headshots/2023/32005341-4e73-9788-7bc9-1e56569fe58b",S,SR.,Jonas,Sanker,110,154,134,118,126,100,–,86,115,–,120,–,–,–,18.7,117.1
136,https://a.espncdn.com/i/teamlogos/ncaa/500/84.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-prospect-headshots/2023/32005745-5314-7430-9357-fa53c8a5072c",IDL,SR.,CJ,West,181,199,188,47,103,149,–,204,74,–,112,146,119,–,50.9,141.5
137,https://a.espncdn.com/i/teamlogos/ncaa/500/2483.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-draft-headshots/2025/32004a41-4d27-1034-c903-85aadc450efd",RB,JR.,Jordan,James,123,115,118,178,195,95,–,117,247,–,136,132,139,140,45.1,139.08
138,https://a.espncdn.com/i/teamlogos/ncaa/500/2305.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-prospect-headshots/2023/32004252-5931-4399-7e5f-199439eb6b6e",CB,SR.,Cobee,Bryant,87,67,124,253,144,137,–,190,120,–,127,193,–,106,52,137.33
139,https://a.espncdn.com/i/teamlogos/ncaa/500/145.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-prospect-headshots/2023/32005045-4741-0041-a55c-913cbb87cab1",IDL,SR.,JJ,Pegues,148,181,186,104,174,110,–,91,126,–,145,204,–,88,39,140.67
140,https://a.espncdn.com/i/teamlogos/ncaa/500/2390.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-draft-headshots/2025/32005245-5356-4972-bc22-d183ed3e5893",WR,SR.,Xavier,Restrepo,146,179,105,163,135,127,–,262,75,–,115,188,100,–,51.6,140.75
141,https://a.espncdn.com/i/teamlogos/ncaa/500/87.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-prospect-headshots/2023/32004556-4155-8806-7189-26710933b3f1",TE,SR.,Mitchell,Evans,143,133,150,202,149,163,–,144,158,–,157,127,87,–,27.8,149
142,https://a.espncdn.com/i/teamlogos/ncaa/500/2305.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-draft-headshots/2025/32004252-4f54-8859-c865-fcaab3f3eab0",OT,JR.,Logan,Brown,167,194,148,73,140,117,–,127,146,–,133,–,103,–,32.4,132.91
143,https://a.espncdn.com/i/teamlogos/ncaa/500/2567.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-prospect-headshots/2023/3200524f-4213-4912-d3df-666b69add8d7",ED,SR.,Elijah,Roberts,114,155,182,81,125,177,–,250,86,–,144,125,–,–,50.4,143.9
144,https://a.espncdn.com/i/teamlogos/ncaa/500/2294.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-prospect-headshots/2023/32004341-5381-3611-9e55-08d9a0995265",S,SR.,Sebastian,Castro,177,110,85,192,138,150,–,283,127,–,147,176,150,97,50.7,150.54
145,https://a.espncdn.com/i/teamlogos/ncaa/500/197.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-prospect-headshots/2023/3200474f-5240-7357-6944-668c800aba72",RB,JR.,Ollie,Gordon II,145,167,176,154,118,210,–,193,239,–,87,152,81,137,45.1,153.23
146,https://a.espncdn.com/i/teamlogos/ncaa/500/61.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-draft-headshots/2025/32004641-4926-4274-c4f3-56fa32b3c0c9",OG,JR.,Dylan,Fairchild,147,144,103,151,188,138,–,186,211,–,–,115,127,–,36.3,146.18
147,https://a.espncdn.com/i/teamlogos/ncaa/500/41.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-draft-headshots/2025/32004c55-4e45-7924-4335-9a5c6ee17e2e",OT,SR.,Chase,Lundt,83,131,172,198,131,162,–,170,153,–,–,113,–,–,34.9,145.89
148,https://a.espncdn.com/i/teamlogos/ncaa/500/2390.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-prospect-headshots/2023/32004241-5254-9896-4d0b-5ab09dc76b7a",ED,SR.,Tyler,Baron,158,175,161,80,137,222,–,163,164,–,130,–,63,–,44.1,146.82
149,https://a.espncdn.com/i/teamlogos/ncaa/500/2390.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-draft-headshots/2025/32005249-5651-2828-a56d-ce6e58e92608",OT,RS JR.,Jalen,Rivers,153,101,160,114,181,144,–,115,139,–,–,235,–,–,39.1,147.1
150,https://a.espncdn.com/i/teamlogos/ncaa/500/2567.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-draft-headshots/2025/3200534d-4908-2538-e2f9-73c89a5b03c8",RB,SR.,Brashard,Smith,163,160,135,113,157,153,–,167,136,–,–,166,–,–,20,146.8
151,https://a.espncdn.com/i/teamlogos/ncaa/500/2483.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-draft-headshots/2025/32004741-4260-1185-23ec-097a05dff640",QB,SR.,Dillon,Gabriel,130,171,125,135,162,205,–,158,155,–,–,185,–,125,30.1,159.91
152,https://a.espncdn.com/i/teamlogos/ncaa/500/2483.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-draft-headshots/2025/3200434f-5245-7885-59ed-fb1e2c63e751",OT,SR.,Ajani,Cornelius,195,200,177,129,206,146,–,220,160,–,–,112,104,105,41.4,157.67
153,https://a.espncdn.com/i/teamlogos/ncaa/500/251.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-prospect-headshots/2023/3200424c-5532-6186-a82d-38322b898c1f",RB,JR.,Jaydon,Blue,164,104,178,264,148,173,–,156,109,–,–,207,142,133,45,157.92
154,https://a.espncdn.com/i/teamlogos/ncaa/500/333.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-prospect-headshots/2023/32004d4f-4f51-0423-6ca1-933c20d1f732",S,SR.,Malachi,Moore,140,83,140,172,136,235,–,231,171,–,156,105,–,–,49.7,151.27
155,https://a.espncdn.com/i/teamlogos/ncaa/500/2655.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-prospect-headshots/2023/32005241-4e69-1400-db5e-1cfb0d52ed17",CB,JR.,Caleb,Ransaw,98,106,210,153,128,223,–,100,204,–,–,178,–,–,51.3,162
156,https://a.espncdn.com/i/teamlogos/ncaa/500/259.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-prospect-headshots/2023/3200504f-5757-6627-a4a6-055d338129ef",ED,SR.,Antwaun,Powell-Ryland,169,241,162,155,133,155,–,165,151,–,–,82,–,–,38.9,158.1
157,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-prospect-headshots/2023/32004855-4e67-1764-a239-a16be34f591e",RB,SR.,Jarquez,Hunter,–,138,190,115,143,214,–,151,133,–,–,–,123,138,32.2,149.44
158,https://a.espncdn.com/i/teamlogos/ncaa/500/356.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-draft-headshots/2025/32004252-5950-9133-617b-ed49a9eaf11b",WR,SR.,Pat,Bryant,152,207,152,180,197,199,–,203,154,–,–,109,–,78,44.4,157.91
159,https://a.espncdn.com/i/teamlogos/ncaa/500/87.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-draft-headshots/2025/32004c45-4f69-7925-6c8a-c518313880fe",QB,SR.,Riley,Leonard,–,152,132,218,184,–,–,223,129,–,140,137,149,44,55.2,158.82
160,https://a.espncdn.com/i/teamlogos/ncaa/500/8.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-draft-headshots/2025/32005445-5311-6936-ab44-7861b1b8f72f",WR,SR.,Isaac,TeSlaa,115,136,239,142,196,215,–,147,112,–,–,164,–,–,43.6,166.6
161,https://a.espncdn.com/i/teamlogos/ncaa/500/135.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-prospect-headshots/2023/32004a4f-5930-2635-2a85-97b24279ee36",ED,SR.,Jah,Joyner,151,214,163,144,170,164,–,199,186,–,–,145,148,–,24.1,168.4
162,https://a.espncdn.com/i/teamlogos/ncaa/500/228.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-prospect-headshots/2023/32004252-4939-4749-302a-af2e17a0e040",TE,SR.,Jake,Briningstool,–,114,173,204,124,230,–,178,175,–,–,140,137,–,41,170
163,https://a.espncdn.com/i/teamlogos/ncaa/500/98.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-prospect-headshots/2023/32005354-4f72-8088-9be0-a1f143d4fbc7",CB,RS JR.,Upton,Stout,134,123,191,125,229,109,–,247,226,–,–,111,–,–,53.6,167.7
164,https://a.espncdn.com/i/teamlogos/ncaa/500/259.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-draft-headshots/2025/32004c41-4e31-2554-c6a4-fc92e7409218",WR,SR.,Jaylin,Lane,–,216,120,149,141,82,–,125,165,–,–,–,–,–,39.4,145.38
165,https://a.espncdn.com/i/teamlogos/ncaa/500/213.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-prospect-headshots/2023/32004b49-4e56-4399-659a-4baa4c0de33a",LB,RS JR.,Kobe,King,99,240,126,100,208,225,–,126,174,–,–,201,–,–,55.1,172.6
166,https://a.espncdn.com/i/teamlogos/ncaa/500/194.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-prospect-headshots/2023/32004841-4d36-0450-ee10-d4ae78ee2bb2",IDL,SR.,Ty,Hamilton,179,–,130,237,167,130,–,99,–,–,141,162,57,–,51.3,150.4
167,https://a.espncdn.com/i/teamlogos/ncaa/500/87.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-prospect-headshots/2023/32004b49-5310-8529-1154-02c2c97c98d1",LB,SR.,Jack,Kiser,188,151,183,162,150,192,–,177,148,–,–,165,–,–,17.1,168.44
168,https://a.espncdn.com/i/teamlogos/ncaa/500/213.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-prospect-headshots/2023/32005245-4526-4482-5957-ff5b3dd2af50",S,SR.,Jaylen,Reed,109,197,189,176,338,87,–,103,–,–,134,182,–,107,71.2,165.91
169,https://a.espncdn.com/i/teamlogos/ncaa/500/333.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-prospect-headshots/2023/3200524f-4267-8792-7fe6-86ca3aaae22b",ED,SR.,Que,Robinson,190,186,192,110,178,141,–,252,137,–,–,211,–,–,40.7,179.1
170,https://a.espncdn.com/i/teamlogos/ncaa/500/2579.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-draft-headshots/2025/32005341-4e45-5028-b876-e95fddcc551a",RB,SR.,Raheim,Sanders,168,184,179,216,183,190,–,189,219,–,–,157,140,–,29.1,177.09
171,https://a.espncdn.com/i/teamlogos/ncaa/500/16.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-draft-headshots/2025/3200534c-4138-9332-2236-98d86bc0b6d6",OG,SR.,Jackson,Slater,182,158,151,189,212,125,–,227,231,–,–,147,–,–,38.3,175.7
172,https://a.espncdn.com/i/teamlogos/ncaa/500/183.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-prospect-headshots/2023/3200414c-4c55-7062-57ec-48f10a8ed2dc",RB,JR.,LeQuint,Allen,191,165,138,194,194,136,–,181,245,–,–,–,–,131,39.4,169.1
173,https://a.espncdn.com/i/teamlogos/ncaa/500/158.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-prospect-headshots/2023/32004849-4c61-2541-d467-d745ea4004d8",CB,SR.,Tommi,Hill,–,227,164,209,202,168,–,184,284,–,148,–,98,103,53.4,179.64
